row,col,6oct,23nov,30nov,28dec
7,23,13.33333333,15,38.33333333,63.16666667
7,24,9.75,13.25,39.25,65
7,25,11.5,17.25,42.28571429,70.25
7,26,27.66666667,26,64.16666667,70.83333333
7,27,9.75,62,84,72.25
7,28,11,20,43.33333333,69.83333333
7,29,9.75,17.75,40.11111111,70.75
7,30,9,17.5,39.28571429,75.25
7,31,8.666666667,18.33333333,45.33333333,82.33333333
7,32,13,21.5,47.5,99
8,0,6.166666667,8,38.33333333,38.33333333
8,1,6.111111111,8.111111111,50.75,38
8,2,4.333333333,8,79,39.66666667
8,3,5,7,56.25,38.83333333
8,4,4.777777778,8.777777778,52.83333333,40.11111111
8,5,4,9.333333333,64.75,41.16666667
8,6,3.111111111,8.888888889,41.5,39.11111111
8,7,5,8,36.5,43.66666667
8,8,3.166666667,8.666666667,22.33333333,38.83333333
8,9,4.222222222,8.888888889,19.5,40.44444444
8,10,3,8,20.33333333,43.5
8,11,3.666666667,8.333333333,19,43.66666667
8,12,3.888888889,8.777777778,18.16666667,42.77777778
8,13,4.333333333,8.333333333,19.2,43.16666667
8,14,4.666666667,9,16.8,40.5
8,15,3.888888889,10,16.5,44.77777778
8,16,4.166666667,9.5,17.75,46.66666667
8,17,4.333333333,9,17.5,43.44444444
8,18,4.666666667,10,16.5,49.66666667
8,19,6.833333333,13.66666667,27.71428571,69.33333333
8,20,37,14.77777778,38.33333333,81.11111111
8,21,93.33333333,16.33333333,39.88888889,73.83333333
8,22,33.66666667,19.5,40.16666667,76.5
8,23,12,17.11111111,38.66666667,71.77777778
8,24,8,13.5,40,68.83333333
8,25,8.5,15,39,73.16666667
8,26,9.444444444,15.33333333,39.5,71.88888889
8,27,6.666666667,15.66666667,37.5,69.66666667
8,28,8.111111111,14.66666667,35.5,71.55555556
8,29,8,16.33333333,38.33333333,70.66666667
8,30,7.666666667,16.5,36,76.5
8,31,7.777777778,18.55555556,45,85.55555556
8,32,10.16666667,21,46.4,87.5
9,0,5.75,8.75,47.33333333,41.5
9,1,4.333333333,8.666666667,72,40.66666667
9,2,4,8.75,89.66666667,40
9,3,6.25,7,60,34.75
9,4,4.5,9.666666667,32.66666667,36.5
9,5,3.5,9.5,45,42
9,6,3,8.333333333,47.16666667,37.83333333
9,7,5,7.75,24,36.5
9,8,3.75,8,22.16666667,39
9,9,4,8.833333333,19.75,38.33333333
9,10,4,8.5,18.16666667,40
9,11,3.75,8.75,19,42.5
9,12,3.833333333,9,17.66666667,44.33333333
9,13,5,8,19.5,41
9,14,5,9,17.44444444,41
9,15,3.333333333,10,16.33333333,47.33333333
9,16,4,8,17.66666667,45
9,17,4,9.666666667,18.55555556,46
9,18,5.5,12.5,24.33333333,56.5
9,19,10,14,34.375,59
9,20,17.66666667,25.33333333,51.5,72
9,21,35.5,20.25,40.16666667,70
9,22,18.5,19.25,44.75,69.5
9,23,14.33333333,17.83333333,43,72.33333333
9,24,10.5,17,35.5,76.25
9,25,12.5,15.75,35,74
9,26,11.66666667,15.5,36.5,71.83333333
9,27,8,15,37.33333333,75.25
9,28,8,15.33333333,36.5,72.83333333
9,29,7.5,17.75,40.33333333,76.25
9,30,7.5,18,41,81.5
9,31,14,39.5,50,103.8333333
9,32,46.5,53.25,57,123
10,0,6.75,7.75,59.83333333,40.5
10,1,4.5,7.833333333,74,39.66666667
10,2,4.5,9,74.83333333,39
10,3,5,7.75,57,36.75
10,4,4.666666667,8.333333333,34.5,37
10,5,3.5,8,30.5,37.75
10,6,4,7.833333333,43.66666667,38.33333333
10,7,4.5,8.25,28,40.5
10,8,4.5,8.75,20.77777778,33
10,9,4.666666667,9.666666667,19.66666667,38.5
10,10,3.5,8.75,19.44444444,44
10,11,3.5,8.5,18.33333333,40.25
10,12,4.333333333,8.166666667,18,38.66666667
10,13,4,7,15.66666667,37.25
10,14,3.5,9,19.66666667,39
10,15,4.833333333,10,17,40.66666667
10,16,4.5,8.5,17,42.25
10,17,4.333333333,9.833333333,19.33333333,46.5
